symbol_kontrolny,okw_nr,teryt_kod,typ_gminy,numer_obwodu,typ_obszaru,typ_obwodu,siedziba,gmina,powiat,wojewodztwo,karty_otrzymane,wyborcy_uprawnieni,karty_niewykorzystane,wyborcy_ktorym_wydano_karty,wyborcy_z_pelnomocnikiem,wyborcy_z_zaswiadczeniem,wyborcy_wysylkowe_pakiety,koperty_otrzymane,koperty_bez_oswiadczenia,ilosc_kopert_bez_podpisanego_oswiadczenia,koperty_bez_karty,koperty_niezaklejona_koperta_z_glosem,koperty_wrzucone_do_urny,karty_z_urny,karty_z_kopert,karty_niewazne,karty_wazne,glosy_niewazne,glosy_niewazne_wiele_x,glosy_niewazne_brak_x,glosy_niewazne_x_obok,glosy_niewazne_proc,glosy_niewazne_wiele_x_proc,glosy_niewazne_brak_x_proc,glosy_niewazne_x_obok_proc,glosy_wazne_proc,glosy_wazne,wynik_biedron,wynik_bosak,wynik_duda,wynik_holownia,wynik_jakubiak,wynik_kosiniak,wynik_piotrowski,wynik_tanajno,wynik_trzaskowski,wynik_witkowski,wynik_zoltek,wynik_biedron_proc,wynik_bosak_proc,wynik_duda_proc,wynik_holownia_proc,wynik_jakubiak_proc,wynik_kosiniak_proc,wynik_piotrowski_proc,wynik_tanajno_proc,wynik_trzaskowski_proc,wynik_witkowski_proc,wynik_zoltek_proc
9924-e2c7-444e-4601-e5ef-60b9-f73d-d8ba,2,20101,gmina miejska,1,miasto,stały,Szkoła Podstawowa Nr 3; ul. Ceramiczna 5; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1432,1553,455,977,0,4,6,6,0,0,0,0,6,983,6,0,983,1,0,1,0,0.101729399796541,0,0.101729399796541,0,99.8982706002035,982,19,70,367,164,2,15,1,3,338,1,2,1.93482688391039,7.12830957230143,37.3727087576375,16.7006109979633,0.203665987780041,1.52749490835031,0.10183299389002,0.305498981670061,34.4195519348269,0.10183299389002,0.203665987780041
9219-f878-5ef7-3ad1-a3c7-d301-7c41-1eed,2,20101,gmina miejska,2,miasto,stały,Szkoła Podstawowa Nr 3; ul. Ceramiczna 5; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1239,1346,330,909,0,5,10,10,0,0,0,0,10,919,10,0,919,0,0,0,0,0,0,0,0,100,919,17,62,311,136,2,15,3,3,365,1,4,1.84983677910773,6.74646354733406,33.8411316648531,14.7986942328618,0.217627856365615,1.63220892274211,0.326441784548422,0.326441784548422,39.7170837867247,0.108813928182807,0.43525571273123
d0a4-75ae-b6b2-687c-05c7-7425-1924-887c,2,20101,gmina miejska,3,miasto,stały,Szkoła Podstawowa Nr 5; ul. Dolne Młyny 60; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1256,1414,358,898,0,5,6,6,0,0,0,0,6,904,6,0,904,2,0,2,0,0.221238938053097,0,0.221238938053097,0,99.7787610619469,902,19,66,326,176,0,9,0,0,300,1,5,2.10643015521064,7.31707317073171,36.1419068736142,19.5121951219512,0,0.997782705099778,0,0,33.2594235033259,0.110864745011086,0.554323725055432
4e0f-2556-4a20-4e58-4172-f050-8658-3425,2,20101,gmina miejska,4,miasto,stały,Szkoła Podstawowa Nr 5; ul. Dolne Młyny 60; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1328,1413,372,956,0,3,6,6,0,0,0,0,6,962,6,0,962,1,1,0,0,0.103950103950104,0.103950103950104,0,0,99.8960498960499,961,18,75,329,159,2,12,2,0,363,0,1,1.87304890738814,7.80437044745057,34.2351716961498,16.5452653485952,0.208116545265349,1.24869927159209,0.208116545265349,0,37.7731529656608,0,0.104058272632674
29a2-2044-ee58-5a3e-aabf-8b5e-0fdd-049b,2,20101,gmina miejska,5,miasto,stały,Szkoła Podstawowa Nr 5; ul. Dolne Młyny 60; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1256,1360,421,835,0,7,6,5,0,0,0,0,5,840,5,0,840,2,2,0,0,0.238095238095238,0.238095238095238,0,0,99.7619047619048,838,13,52,304,125,5,9,1,0,326,2,1,1.55131264916468,6.20525059665871,36.2768496420048,14.9164677804296,0.596658711217184,1.07398568019093,0.119331742243437,0,38.9021479713604,0.238663484486873,0.119331742243437
c853-bad5-b00a-4c61-4215-2342-ec5b-4c4d,2,20101,gmina miejska,6,miasto,stały,Szkoła Podstawowa Nr 2; ul. Juliusza Słowackiego 2; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1214,1290,543,671,0,2,4,4,0,0,0,0,4,675,4,0,675,4,1,3,0,0.592592592592593,0.148148148148148,0.444444444444444,0,99.4074074074074,671,8,41,283,94,1,11,0,0,231,1,1,1.19225037257824,6.11028315946349,42.1758569299553,14.0089418777943,0.14903129657228,1.63934426229508,0,0,34.4262295081967,0.14903129657228,0.14903129657228
1508-d716-b73d-4c4b-765e-7bfe-6090-2614,2,20101,gmina miejska,7,miasto,stały,Szkoła Podstawowa Nr 1; ul. Jana Pawła II 38c; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1246,1345,352,894,1,12,9,9,0,0,0,0,9,903,9,0,903,5,3,2,0,0.553709856035437,0.332225913621262,0.221483942414175,0,99.4462901439646,898,24,41,306,110,2,17,0,1,392,2,3,2.67260579064588,4.56570155902004,34.075723830735,12.2494432071269,0.22271714922049,1.89309576837416,0,0.111358574610245,43.652561247216,0.22271714922049,0.334075723830735
f8f2-40ae-489d-584c-8aa4-e1f6-55d5-f41f,2,20101,gmina miejska,8,miasto,stały,Szkoła Podstawowa Nr 1; ul. Jana Pawła II 38c; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1251,1348,333,918,0,7,7,7,0,0,0,0,7,925,7,0,925,1,0,1,0,0.108108108108108,0,0.108108108108108,0,99.8918918918919,924,20,55,337,140,1,24,0,0,345,0,2,2.16450216450216,5.95238095238095,36.4718614718615,15.1515151515152,0.108225108225108,2.5974025974026,0,0,37.3376623376623,0,0.216450216450216
9b8d-9fc7-d725-cceb-be04-df0e-721e-3780,2,20101,gmina miejska,9,miasto,stały,Miejskie Przedszkole Publiczne Nr 6; ul. Piotra i Pawła 2; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1340,1399,491,849,0,5,20,20,1,0,0,0,19,868,19,0,868,4,0,4,0,0.460829493087558,0,0.460829493087558,0,99.5391705069124,864,30,52,291,136,1,8,0,1,342,0,3,3.47222222222222,6.01851851851852,33.6805555555556,15.7407407407407,0.115740740740741,0.925925925925926,0,0.115740740740741,39.5833333333333,0,0.347222222222222
7824-c62e-acf1-018e-615c-0b27-8d25-d50e,2,20101,gmina miejska,10,miasto,stały,Szkoła Podstawowa Nr 2; ul. Juliusza Słowackiego 2; 59-700 Bolesławiec,m. Bolesławiec,bolesławiecki,dolnośląskie,1208,1330,412,796,0,10,11,10,0,0,0,0,10,806,10,0,806,3,3,0,0,0.372208436724566,0.372208436724566,0,0,99.6277915632754,803,22,57,334,95,1,4,0,0,287,1,2,2.73972602739726,7.09838107098381,41.5940224159402,11.8306351183064,0.12453300124533,0.49813200498132,0,0,35.7409713574097,0.12453300124533,0.24906600249066
