symbol_kontrolny,karty_niewazne,siedziba
95a6-2adb-67f7-1648-78b1-959d-cb59-3803,71,"Zespół Szkół Salezjańskich w Poznaniu, os. Bohaterów II Wojny Światowej 29, 61-387 Poznań"
4061-42c3-e043-ce96-4e12-3507-e9f3-c46a,44,"Londyn III, Ambasada RP w Londynie 47 Portland Place London, W1B 1JH, Londyn, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
5d81-5587-9470-22a6-9e48-fdd9-a4e9-6096,43,"Londyn II, Ambasada RP w Londynie 47 Portland Place London, W1B 1JH, Londyn, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
fdda-3fe2-a28e-19ec-4522-0076-b929-8d98,43,"Londyn IV, Wydział Konsularny Ambasady RP w Londynie 10 Bouverie Street London, EC4Y 8AX, Londyn, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
6773-221f-7294-dedb-4a39-f320-648f-b7a0,40,"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań"
013c-2292-7b60-09ec-36e4-e059-d04e-654b,39,"LIX Liceum Ogólnokształcące Mistrzostwa Sportowego, S. B. Lindego 20, 01-952 Warszawa"
428e-482c-985a-8c5c-c767-1468-dddb-482e,39,"Poland House 90 Gloucester Place London W1U 6HS, Londyn, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
05ce-3681-062f-4e87-7132-1703-b26c-989a,27,"Liceum Ogólnokształcące, ul. Podwale 16, 68-200 Żary"
aab2-ea7c-a5a8-6d60-a6e8-f4b5-a9c8-e689,27,"Rokietnicki Ośrodek Sportu, ul. Szamotulska 29, 62-090 Rokietnica"
657c-3676-72f5-0555-5a26-b3ed-6d45-0653,25,"Budynek Ochotniczej Straży Pożarnej, ul. Krakusa 14, 44-321 Marklowice"
4d9d-ab43-6957-4be3-c555-919c-b19d-72bc,24,"XXXIV Liceum Ogólnokształcące im. Krzysztofa Kieślowskiego, ul. Wapienna 17, 91-078 Łódź"
f6e8-4725-1ee4-d47b-d2bd-5b85-02c6-a460,23,"Budynek starej Szkoły Podstawowej w Chorowicach, Chorowice ul. Doboszyńskiego 48, 32-031 Mogilany"
15fd-c3c6-c2a0-f7eb-fed7-8f45-71c7-5545,23,"Szkoła Podstawowa Nr 8, ul. Janasa 11, 42-612 Tarnowskie Góry"
301b-d634-f23e-b951-5c55-9cd7-2ede-d904,22,"Biblioteka Miejska w Łodzi Filia nr 73, ul. Piękna 35/39, 93-558 Łódź"
f118-698d-3b80-8f5e-08ad-6a7e-941d-6d33,22,"Londyn V, Wydział Konsularny Ambasady RP w Londynie 10 Bouverie Street London, EC4Y 8AX, Londyn, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
67b5-9607-3e22-8848-2bb2-f031-fdfa-f84a,21,"AAI-Polska AIKIDO, ul. Immanuela Kanta 15A, 10-691 Olsztyn"
2575-f061-2709-3c05-fce2-098d-bd71-7c1e,20,"Urząd Gminy w Suchożebrach, Aleksandry Ogińskiej 11, 08-125 Suchożebry"
e1c9-aa11-9517-f450-fb72-16bb-352f-8359,20,"Szkoła Podstawowa im. Henryka Sienkiewicza, ul. Polna 40, 05-082 Stare Babice"
a1bd-f8f2-93e1-73d7-0720-f567-7988-01da,19,"Świetlica Wiejska w Goraju, Goraj 24, 66-340 Przytoczna"
bb55-0eb4-fd65-34c4-71b4-14be-645f-018b,19,"Manchester II, Konsulat Generalny RP, 51 Portland Street, Manchester, M1 3LD, Manchester, Zjednoczone Królestwo Wielkiej Brytanii i Irlandii Północnej"
135e-9f45-0c66-130f-d00b-04be-bc87-b8a2,18,"Gminny Ośrodek Kultury w Pomiechówku, Jana Kilińskiego 1, 05-180 Pomiechówek"
a9a0-5193-25a9-06f2-dd40-8577-2bcb-b376,18,"Republika Irlandii, Dublin, Wydział Konsularny Ambasady RP w Dublinie 4 - 8 Eden Quay Dublin 1, D01 N5W8, Dublin, Irlandia"
3ac7-cbfa-a08f-418b-2022-3113-66e9-2379,17,"Szkoła Podstawowa Nr 5, ul. Chramcówki 27, 34-500 Zakopane"
de28-353c-b90d-705d-1ea4-4049-b074-ed19,17,"Monachium I, Konsulat Generalny RP Röntgenstrasse 5 81679 München, Monachium, Republika Federalna Niemiec"
e206-61d8-ea74-77b6-a5a7-fc63-dec5-8b03,15,"Szkoła Podstawowa Nr 1, ul. Idzikowskiego 2a, 05-070 Sulejówek"
e82f-3cf2-0732-d9b9-0294-f4c8-f748-1c9f,15,"Szkoła Podstawowa Nr 70 z Oddziałami Integracyjnymi im. Bohaterów Monte Cassino, ul. G. Bruna 11, 02-594 Warszawa"
df53-32ae-f141-a7d8-43b9-c433-483d-c108,15,"Moniecki Ośrodek Kultury w Mońkach, ul. Białostocka 25, 19-100 Mońki"
f36b-43cc-cc9d-6782-4408-98d1-8af7-68ba,14,"Kolonia II, Konsulat Generalny RP Im Media Park 5 C 50670 Köln, Kolonia, Republika Federalna Niemiec"
3210-b050-c5f9-0b2a-1b52-519a-ed42-e775,14,"Zespół Szkolno-Przedszkolny Nr 2 - Publiczna Szkoła Podstawowa Nr 16, ul. Zofii Nałkowskiej 16, 45-558 Opole"
f389-71af-b7fb-812f-b834-fd5b-6feb-6d6e,13,"Szkoła Podstawowa w Wilkołazie Pierwszym, Wilkołaz Pierwszy 7, 23-212 Wilkołaz"
c7d7-5e80-761f-0759-9efb-437a-b7bb-ee44,13,"Monachium II, Konsulat Generalny RP Röntgenstrasse 5 81679 München, Monachium, Republika Federalna Niemiec"
20f2-4749-4b7e-2230-e666-1aa8-d42c-23d8,13,"Kino Morena, ul. Przybrzeżna 1, 73-140 Ińsko"
46ed-e6ea-f674-60fb-a3db-7b19-dddf-8a85,12,"Szkoła Podstawowa nr 199 im. Juliana Tuwima, ul. Elsnera 8, 92-504 Łódź"
2c56-8312-f2ba-0db7-41ec-16a1-0436-e174,12,"Szkoła Podstawowa Nr 380 im. Jana Pawła II, ul. Krasiczyńska 4/6, 03-379 Warszawa"
2415-a681-c68b-304a-df8c-3831-e1ec-a0c2,12,"Szkoła Podstawowa w Rudzie, Ruda 124, 39-315 Ruda"
6a77-3c17-08fb-f96c-b42b-e4c8-8bdb-41fd,12,"Szkoła Podstawowa Nr 1, ul. Wyzwolenia 160, 44-321 Marklowice"
903e-5b1f-bf6b-d267-17d9-153b-1d46-42e0,12,"Zespół Szkolno-Przedszkolny nr 2, ul. Łozowa 77, 61-448 Poznań"
eef4-a059-85b5-a287-b806-cd7e-97ce-fe6a,11,"Szkoła Podstawowa nr 56 im. Bronisława Czecha, ul. Turoszowska 10, 91-025 Łódź"
8b5a-b9f2-af80-da45-df2b-a406-2151-b755,11,"Szkoła Podstawowa nr 137 im. Aleksandra Kamińskiego, ul. Olimpijska 9, 94-043 Łódź"
