gmina,polling_stations
m. Kraków,447
m. Łódź,314
m. Wrocław,312
m. Poznań,251
m. Lublin,208
m. Szczecin,207
m. Bydgoszcz,204
m. Gdańsk,199
m. Białystok,185
m. Katowice,169
zagranica,165
m. Częstochowa,135
m. Toruń,123
m. Gdynia,118
m. Gliwice,116
m. Radom,114
m. Sosnowiec,107
m. Olsztyn,101
m. Rzeszów,98
Mokotów,95
m. Kielce,95
m. Zabrze,90
Praga-Południe,85
m. Bytom,81
m. Opole,79
m. Ruda Śląska,79
m. Bielsko-Biała,76
m. Zielona Góra,76
m. Tarnów,74
m. Płock,70
m. Rybnik,70
m. Gorzów Wielkopolski,68
m. Włocławek,68
m. Dąbrowa Górnicza,67
m. Tychy,66
Ursynów,64
m. Chorzów,63
m. Elbląg,62
Wola,61
m. Wałbrzych,61
Białołęka,57
m. Grudziądz,55
m. Kalisz,55
m. Koszalin,53
m. Nowy Sącz,53
Bemowo,52
Bielany,50
m. Inowrocław,49
m. Legnica,49
m. Lubin,49
m. Jaworzno,48
m. Jelenia Góra,47
m. Konin,47
m. Słupsk,47
Śródmieście,47
Ochota,45
Targówek,44
gm. Piaseczno,44
m. Ostrów Wielkopolski,43
m. Siedlce,43
m. Zawiercie,42
m. Piotrków Trybunalski,41
m. Siemianowice Śląskie,41
m. Mysłowice,40
m. Gniezno,39
m. Przemyśl,39
m. Zgierz,39
m. Jastrzębie-Zdrój,38
m. Ostrowiec Świętokrzyski,38
m. Stalowa Wola,38
m. Suwałki,38
gm. Wieliczka,37
m. Stargard,37
m. Chełm,36
m. Głogów,36
gm. Chrzanów,35
gm. Nysa,35
m. Zamość,35
gm. Olkusz,34
m. Leszno,34
m. Tarnobrzeg,34
Wawer,33
gm. Strzelce Opolskie,33
m. Kędzierzyn-Koźle,33
m. Piła,33
m. Mielec,32
m. Piekary Śląskie,32
m. Skarżysko-Kamienna,32
m. Łomża,32
Praga-Północ,31
gm. Pszczyna,31
m. Tarnowskie Góry,31
gm. Myślenice,30
gm. Września,30
gm. Kluczbork,29
gm. Wołomin,29
m. Biała Podlaska,29
m. Będzin,29
m. Jasło,29
m. Kutno,29
m. Ostrołęka,29
m. Otwock,29
m. Pabianice,29
gm. Namysłów,28
gm. Wyszków,28
m. Bełchatów,28
m. Krosno,28
m. Sieradz,28
m. Tczew,28
m. Tomaszów Mazowiecki,28
gm. Biskupiec,27
gm. Chełmiec,27
gm. Gorzyce,27
gm. Prudnik,27
gm. Wadowice,27
m. Skierniewice,27
m. Świętochłowice,27
gm. Busko-Zdrój,26
gm. Czarna,26
gm. Dębno,26
gm. Grodzisk Mazowiecki,26
gm. Koluszki,26
gm. Krzeszowice,26
gm. Olesno,26
gm. Pleszew,26
gm. Police,26
gm. Trzebinia,26
m. Pruszków,26
m. Świnoujście,26
gm. Jarocin,25
gm. Końskie,25
gm. Opoczno,25
gm. Skawina,25
gm. Staszów,25
gm. Strzegom,25
gm. Wieluń,25
m. Cieszyn,25
m. Oświęcim,25
m. Racibórz,25
m. Wodzisław Śląski,25
m. Świdnica,25
Włochy,24
gm. Andrychów,24
gm. Biała,24
gm. Bogatynia,24
gm. Gryfino,24
gm. Głubczyce,24
gm. Kolbuszowa,24
gm. Miechów,24
gm. Nakło nad Notecią,24
gm. Oborniki,24
gm. Swarzędz,24
gm. Zabierzów,24
gm. Świecie,24
m. Chojnice,24
m. Ciechanów,24
m. Dębica,24
m. Kołobrzeg,24
m. Kwidzyn,24
m. Legionowo,24
m. Puławy,24
m. Radomsko,24
m. Sopot,24
m. Starachowice,24
m. Starogard Gdański,24
m. Szczecinek,24
m. Zakopane,24
m. Żyrardów,24
gm. Czarny Dunajec,23
gm. Czechowice-Dziedzice,23
gm. Gostyń,23
gm. Jędrzejów,23
gm. Koronowo,23
gm. Kozienice,23
gm. Ropczyce,23
gm. Sędziszów Małopolski,23
gm. Słubice,23
gm. Wolsztyn,23
gm. Ziębice,23
gm. Śrem,23
gm. Środa Wielkopolska,23
gm. Żnin,23
m. Bolesławiec,23
m. Czeladź,23
m. Dzierżoniów,23
m. Kraśnik,23
m. Lębork,23
m. Myszków,23
m. Oleśnica,23
m. Sanok,23
m. Sochaczew,23
m. Zduńska Wola,23
m. Łowicz,23
m. Świdnik,23
m. Żary,23
m. Żory,23
Ursus,22
gm. Barczewo,22
gm. Brzesko,22
gm. Dębica,22
gm. Jasło,22
gm. Konstancin-Jeziorna,22
gm. Kruszwica,22
gm. Morąg,22
gm. Mosina,22
gm. Ryki,22
gm. Ustrzyki Dolne,22
gm. Świebodzin,22
m. Bielawa,22
