,official,low invalid,low invalid change,high invalid,high invalid change
biedron,2.225,2.293,0.069,1.964,-0.260
bosak,6.781,6.807,0.025,6.685,-0.097
duda,43.502,42.047,-1.455,49.018,5.515
holownia,13.865,14.083,0.217,13.041,-0.824
jakubiak,0.173,0.174,0.001,0.170,-0.003
kosiniak,2.365,2.318,-0.047,2.543,0.178
piotrowski,0.108,0.108,-0.001,0.111,0.002
tanjano,0.144,0.143,0.000,0.145,0.001
trzaskowski,30.462,31.644,1.182,25.980,-4.482
witkowski,0.140,0.146,0.006,0.119,-0.022
zoltek,0.234,0.236,0.003,0.224,-0.009
